year,climate_zone,continent,mean_temp_C,mean_pr_mm_day,mean_spi
1867,Polar,Europe,-10.7672,1.3559,-0.1791
1867,Polar,North America,-18.5179,0.6416,0.1981
1867,Polar,South America,-9.2595,1.6566,-0.2948
1867,Temperate,Africa,14.4045,2.4266,0.3489
1867,Temperate,Antarctica,-1.9579,2.6635,0.0865
1867,Temperate,Asia,8.8013,2.4964,0.0132
1867,Temperate,Asia/Europe,-10.2046,1.3288,-0.2647
1867,Temperate,Europe,8.2917,2.6287,0.2493
1867,Temperate,North America,6.5587,2.5752,-0.0013
1867,Temperate,Oceania,14.1829,2.4874,-0.2715
1867,Temperate,South America,9.2734,2.6778,0.0514
1867,Tropical,Africa,26.3092,2.4387,-0.0236
1867,Tropical,Asia,26.732,4.2412,-0.4078
1867,Tropical,North America,26.1132,3.7806,0.0977
1867,Tropical,Oceania,26.2641,5.6872,-0.1377
1867,Tropical,South America,25.9447,3.6562,0.0611
1868,Polar,Antarctica,-34.0938,0.6484,0.37
1868,Polar,Asia/Europe,-16.3021,0.7899,-0.6568
1868,Polar,Europe,-12.086,1.3197,-0.6633
1868,Polar,North America,-18.5329,0.6631,-0.3594
1868,Polar,South America,-8.4301,1.8913,0.4693
1868,Temperate,Africa,14.5303,2.2811,0.3591
1868,Temperate,Antarctica,-2.1632,2.6812,0.083
1868,Temperate,Asia,8.8,2.4279,0.1393
1868,Temperate,Asia/Europe,-8.0279,1.45,-0.0659
1868,Temperate,Europe,7.9275,2.5919,0.0744
1868,Temperate,North America,6.7804,2.507,-0.1105
1868,Temperate,Oceania,14.2058,2.6572,-0.1767
1868,Temperate,South America,9.4246,2.5952,-0.0471
1868,Tropical,Africa,26.4043,2.5637,-0.2404
1868,Tropical,Asia,26.9185,5.0149,-0.1337
1868,Tropical,North America,25.7697,4.2001,0.4265
1868,Tropical,Oceania,26.3224,4.9999,-0.2414
1868,Tropical,South America,25.4063,4.037,0.1034
1869,Polar,Antarctica,-34.5034,0.6484,-0.0803
1869,Polar,Asia/Europe,-17.4449,0.8103,0.0147
1869,Polar,Europe,-11.3136,1.3247,-0.7946
1869,Polar,North America,-19.6099,0.6524,0.3193
1869,Polar,South America,-8.6696,1.8926,0.8344
1869,Temperate,Africa,14.3559,2.1781,-0.1928
1869,Temperate,Antarctica,-2.1317,2.6916,0.1045
1869,Temperate,Asia,9.2016,2.2922,-0.2927
1869,Temperate,Asia/Europe,-8.8348,1.4878,0.8386
1869,Temperate,Europe,8.0689,2.6533,-0.0613
1869,Temperate,North America,6.4307,2.443,-0.2827
1869,Temperate,Oceania,14.1442,2.8086,0.2113
1869,Temperate,South America,9.5379,2.4826,-0.1467
1869,Tropical,Africa,25.7076,2.681,0.0921
1869,Tropical,Asia,26.4611,5.1202,0.5249
1869,Tropical,North America,25.1293,3.3922,0.306
1869,Tropical,Oceania,25.8188,5.1531,-0.0307
1869,Tropical,South America,24.4468,3.7133,0.4231
1870,Polar,Antarctica,-34.751,0.6114,-0.5219
1870,Polar,Asia/Europe,-16.0268,0.7824,0.1465
1870,Polar,Europe,-10.0292,1.3821,0.3138
1870,Polar,North America,-18.7592,0.6688,0.1894
1870,Polar,South America,-10.0682,1.6989,0.4803
1870,Temperate,Africa,14.2861,2.2419,-0.3514
1870,Temperate,Antarctica,-2.1088,2.601,-0.2836
1870,Temperate,Asia,8.6905,2.3487,-0.3526
1870,Temperate,Asia/Europe,-8.4125,1.4267,0.0526
1870,Temperate,Europe,8.1369,2.561,-0.0347
1870,Temperate,North America,6.3861,2.5394,-0.1465
1870,Temperate,Oceania,14.2522,2.7567,0.1847
1870,Temperate,South America,9.246,2.6674,0.1995
1870,Tropical,Africa,25.5691,2.7074,-0.0452
1870,Tropical,Asia,26.3364,4.2001,0.2538
1870,Tropical,North America,25.3039,3.2279,0.2179
1870,Tropical,Oceania,25.9831,5.5979,0.0606
1870,Tropical,South America,24.3573,3.6427,0.1397
1871,Polar,Antarctica,-33.8906,0.6684,-0.3308
1871,Polar,Asia/Europe,-16.6501,0.826,0.3962
1871,Polar,Europe,-11.2,1.4289,-0.0919
1871,Polar,North America,-18.3952,0.6869,0.6922
1871,Polar,South America,-11.1949,1.4174,-0.9478
1871,Temperate,Africa,14.5004,2.3588,0.2544
1871,Temperate,Antarctica,-1.8606,2.6943,-0.2527
